"Id","StationID","TurbinID","PeriodType","PeriodValue","URT","Consumption","NominalURT"
159,22,"04",1,22,"1474.4467340665901","31498.483","1584.2124545454549"
160,22,"05",1,31,"1820.0628830025576","67625.52100000001","1531.1333225806452"
161,22,"07",1,31,"1980.2506902009225","158241.785","1803.073258064516"
162,22,"08",1,31,"1938.4279632417242","148759.58899999998","1828.5351935483875"
163,24,"01",1,30,"2220.6202669720824","232001.07499999995","0"
164,24,"02",1,10,"2274.447903636305","70098.682","0"
165,24,"04",1,28,"2236.47435440384","199485.00000000003","0"
166,24,"05",1,27,"2300.725250314578","77429.26999999999","0"
167,24,"06",1,27,"2295.4862782582186","212246.198","0"
168,24,"08",1,30,"2285.014590828255","248408.11499999993","0"
169,24,"09",1,30,"2021.4548146164418","171885.351","0"
170,24,"10",1,23,"1939.6212863861101","131261.34500000003","0"
171,25,"01",1,30,"1983.8244119821434","372583.753","0"
172,25,"02",1,30,"1928.2454679959776","345214.42000000004","0"
173,25,"03",1,27,"1927.0804556877667","250052.14800000007","0"
174,25,"04",1,30,"1881.6563620659379","318928.17000000004","0"
175,25,"05",1,30,"1829.76746285093","329460.9470000001","0"
176,25,"06",1,30,"1898.9195845805314","369602.4490000001","0"
177,25,"07",1,30,"1913.768174069901","504543.02800000005","0"
178,25,"09",1,29,"1906.0653140348704","550157.3740000001","0"
179,25,"10",1,9,"1932.0427234292363","105970.637","0"
180,26,"01",1,31,"2313.68830625527","157864.97","0"
181,26,"02",1,31,"2450.5726406196404","80055.474","0"
182,26,"04",1,22,"2302.186024542766","106568.30699999999","0"
183,26,"05",1,10,"2060.9426816865284","78744.11","0"
184,26,"07",1,28,"2255.8737100319404","195581.04799999995","0"
185,26,"08",1,31,"2068.8555802525557","313212.79699999996","0"
186,1,"01",2,317,"2231.5562211699257","1786418.6159999983","0"
187,1,"02",2,219,"2180.6009991850715","1202624.4759999998","0"
188,1,"03",2,302,"2371.521129037929","1560946.046999999","0"
189,1,"04",2,270,"2225.5957113129075","1474527.8500000008","0"
190,1,"05",2,266,"2423.3795756522213","1346885.5349999997","0"
191,1,"06",2,193,"2225.1808245575535","1025764.9","0"
192,1,"07",2,180,"2371.7350822214444","2665838.565","0"
193,2,"01",2,283,"1453.2771287060154","923409.273","1459.050530035336"
194,2,"02",2,285,"1665.3502142584534","1082751.2179999999","1575.8905263157899"
195,2,"03",2,272,"1523.857640033085","826947.857","1430.066176470588"
196,2,"04",2,193,"1302.791897655814","752889.4689999997","1405.8466321243527"
197,3,"07",2,185,"933.0734387144631","124026","936.6207027027033"
198,3,"09",2,90,"944.6967263942627","49363","988.230277777778"
199,3,"11",2,202,"2562.2065734293383","430500.37199999974","2644.530970297029"
200,3,"12",2,205,"1946.2101521085192","395810.226","1998.9643024390255"
201,3,"14",2,278,"2289.322341580723","1337038.222","2146.8903417266197"
202,3,"15",2,142,"2347.9975003324676","566415.4150000002","2160.0110845070412"
203,4,"03",2,265,"2269.7608764669667","308130.1440000001","2370.2104264150953"
204,4,"04",2,256,"2503.796083315348","326577.0669999998","2333.7880781250005"
205,4,"05",2,228,"2641.7874477877276","299079.8979999999","2440.837859649121"
206,4,"06",2,309,"2401.113256096249","405882.13800000004","2452.7266343042093"
207,4,"09",2,280,"1945.6356939728987","796100.7159999995","1851.8393321428582"
208,4,"10",2,196,"998.6239727772398","394440.90900000016","911.7396326530613"
209,4,"11",2,100,"1074.8553174141273","109406.33700000003","924.8159800000001"
210,5,"03",2,193,"962.2877791626678","80231","1006.7949222797927"
211,5,"05",2,287,"986.2033033200747","132497","1002.4122299651551"
212,5,"06",2,100,"1683.0110823950877","11724","1811.3741999999995"
213,5,"07",2,141,"1287.576490537672","22616","1479.7024822695032"
214,5,"09",2,95,"976.93850248626","57315","996.2928421052634"
215,5,"10",2,112,"1091.6448340232128","61605","1463.4610714285714"
216,5,"11",2,241,"2047.3750105117476","906129","2043.629958506225"
217,5,"12",2,170,"2089.3918552062355","692074","2027.6742941176492"
218,5,"13",2,123,"2153.363325010738","509857","2140.8250406504058"
219,6,"05",2,237,"2118.540546427742","573313.936","2194.9757215189866"
220,6,"06",2,217,"2231.388195072075","522999.884","1935.965069124424"
221,6,"07",2,144,"1036.5584875706763","153197.79199999996","1071.111319444444"
222,6,"08",2,224,"1937.1617974819678","495654.38099999964","1960.1702767857143"
223,6,"09",2,294,"1869.613882916723","637411.5300000001","1833.560081632653"
224,7,"01",2,306,"1532.0132238989722","555573.8289999999","1534.8529411764705"
225,7,"02",2,225,"1539.12326204796","855370.1370000003","1455.5466666666666"
226,7,"03",2,266,"1540.6024500931246","1260727.5790000001","1554.4135338345864"
227,8,"01",2,292,"1564.1352619412335","606166.4980000005","1582.5152842465754"
228,8,"02",2,208,"1588.1416576179254","776032.6069999998","1459.011985576923"
229,8,"03",2,305,"1744.9392423746365","1209487.6350000002","1650.8859999999995"
230,8,"04",2,283,"2269.627694156401","1895592.0569999998","2217.5302402826846"
231,9,"01",2,252,"2604.579091059356","1188203","0"
232,9,"02",2,261,"2534.0643710000572","1417927","0"
233,9,"03",2,280,"2348.8081132931597","1321439","0"
234,9,"04",2,234,"2199.470711942183","1291397","0"
235,9,"05",2,190,"2204.5151633933356","939359","0"
236,9,"06",2,172,"2050.2283638916833","1346266","0"
